run,run_label,model,model_label,target,target_label,group,method,feature,feature_label,importance_mean,importance_std,rank,n_rows,n_tsids
B,Dataset1 formal 5-feature,xgb,XGBoost,dbcm_in_avg,DBCM,high,shap,ph_in_avg,pH,1.4283424615859985,0.0,4,55,7
B,Dataset1 formal 5-feature,xgb,XGBoost,dbcm_in_avg,DBCM,high,shap,toc_in_avg,TOC,1.3596817255020142,0.0,5,55,7
B,Dataset1 formal 5-feature,xgb,XGBoost,dbcm_in_avg,DBCM,high,permutation,br_in_avg,Bromide,3.6758397373164655,0.4321986515703024,1,55,7
B,Dataset1 formal 5-feature,xgb,XGBoost,dbcm_in_avg,DBCM,high,permutation,ph_in_avg,pH,0.7587955890930704,0.2743319400229858,2,55,7
B,Dataset1 formal 5-feature,xgb,XGBoost,dbcm_in_avg,DBCM,high,permutation,temp_in_avg,Temperature,-0.02843624893589678,0.540841193680005,3,55,7
B,Dataset1 formal 5-feature,xgb,XGBoost,dbcm_in_avg,DBCM,high,permutation,toc_in_avg,TOC,-0.03277346850274356,0.2408674793320786,4,55,7
B,Dataset1 formal 5-feature,xgb,XGBoost,dbcm_in_avg,DBCM,high,permutation,uv_in_avg,UV254,-0.07210451729656171,0.1690751995532727,5,55,7
B,Dataset1 formal 5-feature,xgb,XGBoost,bdcm_in_avg,BDCM,low,shap,br_in_avg,Bromide,11.749456405639648,0.0,1,50,10
B,Dataset1 formal 5-feature,xgb,XGBoost,bdcm_in_avg,BDCM,low,shap,uv_in_avg,UV254,4.922264575958252,0.0,2,50,10
B,Dataset1 formal 5-feature,xgb,XGBoost,bdcm_in_avg,BDCM,low,shap,toc_in_avg,TOC,3.6199049949645996,0.0,3,50,10
B,Dataset1 formal 5-feature,xgb,XGBoost,bdcm_in_avg,BDCM,low,shap,ph_in_avg,pH,1.2164663076400757,0.0,4,50,10
B,Dataset1 formal 5-feature,xgb,XGBoost,bdcm_in_avg,BDCM,low,shap,temp_in_avg,Temperature,1.1767574548721313,0.0,5,50,10
B,Dataset1 formal 5-feature,xgb,XGBoost,bdcm_in_avg,BDCM,low,permutation,br_in_avg,Bromide,11.354636751353022,0.9692355270329724,1,50,10
B,Dataset1 formal 5-feature,xgb,XGBoost,bdcm_in_avg,BDCM,low,permutation,uv_in_avg,UV254,4.641075831393351,0.7947246155922857,2,50,10
B,Dataset1 formal 5-feature,xgb,XGBoost,bdcm_in_avg,BDCM,low,permutation,toc_in_avg,TOC,2.7537334406752145,0.8086231786533051,3,50,10
B,Dataset1 formal 5-feature,xgb,XGBoost,bdcm_in_avg,BDCM,low,permutation,temp_in_avg,Temperature,0.3471695828564454,0.22081324083939965,4,50,10
B,Dataset1 formal 5-feature,xgb,XGBoost,bdcm_in_avg,BDCM,low,permutation,ph_in_avg,pH,-0.9519171338177295,0.45101417062302623,5,50,10
B,Dataset1 formal 5-feature,xgb,XGBoost,bdcm_in_avg,BDCM,high,shap,br_in_avg,Bromide,5.552452087402344,0.0,1,55,7
B,Dataset1 formal 5-feature,xgb,XGBoost,bdcm_in_avg,BDCM,high,shap,uv_in_avg,UV254,2.2403295040130615,0.0,2,55,7
B,Dataset1 formal 5-feature,xgb,XGBoost,bdcm_in_avg,BDCM,high,shap,toc_in_avg,TOC,1.4665846824645996,0.0,3,55,7
B,Dataset1 formal 5-feature,xgb,XGBoost,bdcm_in_avg,BDCM,high,shap,temp_in_avg,Temperature,1.4606596231460571,0.0,4,55,7
B,Dataset1 formal 5-feature,xgb,XGBoost,bdcm_in_avg,BDCM,high,shap,ph_in_avg,pH,0.9805071949958801,0.0,5,55,7
B,Dataset1 formal 5-feature,xgb,XGBoost,bdcm_in_avg,BDCM,high,permutation,br_in_avg,Bromide,1.0463550814632867,0.8825768165036374,1,55,7
B,Dataset1 formal 5-feature,xgb,XGBoost,bdcm_in_avg,BDCM,high,permutation,ph_in_avg,pH,0.37491108758766123,0.19010623211639777,2,55,7
B,Dataset1 formal 5-feature,xgb,XGBoost,bdcm_in_avg,BDCM,high,permutation,toc_in_avg,TOC,-0.41760115287365096,0.3846829278289125,3,55,7
B,Dataset1 formal 5-feature,xgb,XGBoost,bdcm_in_avg,BDCM,high,permutation,uv_in_avg,UV254,-0.46918739710952184,0.38456640565615086,4,55,7
B,Dataset1 formal 5-feature,xgb,XGBoost,bdcm_in_avg,BDCM,high,permutation,temp_in_avg,Temperature,-0.4725773431883041,0.2423016586849694,5,55,7
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,thm4_in_avg,THM4,low,shap,toc_in_avg,TOC,34.96363027225218,0.0,1,50,10
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,thm4_in_avg,THM4,low,shap,cl2d_in_avg,Cl2 dose,28.413308590933,0.0,2,50,10
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,thm4_in_avg,THM4,low,shap,br_in_avg,Bromide,17.386533109064846,0.0,3,50,10
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,thm4_in_avg,THM4,low,shap,uv_in_avg,UV254,15.288136245692554,0.0,4,50,10
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,thm4_in_avg,THM4,low,shap,temp_in_avg,Temperature,2.663227151233117,0.0,5,50,10
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,thm4_in_avg,THM4,low,shap,ph_in_avg,pH,2.1810374861798247,0.0,6,50,10
