experiment,experiment_label,model,model_label,target,target_label,feature,feature_label,mean_abs_shap,rank,test_rows
formal_6feat_cl2d,Formal 6-feature + Cl2,mlp,MLP,dbcm_in_avg,DBCM,toc_in_avg,TOC,0.06151537763338438,5,106
formal_6feat_cl2d,Formal 6-feature + Cl2,mlp,MLP,dbcm_in_avg,DBCM,ph_in_avg,pH,0.03181659501654281,6,106
formal_6feat_cl2d,Formal 6-feature + Cl2,mlp,MLP,thm4_in_avg,THM4,cl2d_in_avg,Cl2 dose,0.35811879376198846,1,106
formal_6feat_cl2d,Formal 6-feature + Cl2,mlp,MLP,thm4_in_avg,THM4,toc_in_avg,TOC,0.18700023237564897,2,106
formal_6feat_cl2d,Formal 6-feature + Cl2,mlp,MLP,thm4_in_avg,THM4,br_in_avg,Bromide,0.09530409264619903,3,106
formal_6feat_cl2d,Formal 6-feature + Cl2,mlp,MLP,thm4_in_avg,THM4,uv_in_avg,UV254,0.07028587347503168,4,106
formal_6feat_cl2d,Formal 6-feature + Cl2,mlp,MLP,thm4_in_avg,THM4,temp_in_avg,Temperature,0.06400657516523352,5,106
formal_6feat_cl2d,Formal 6-feature + Cl2,mlp,MLP,thm4_in_avg,THM4,ph_in_avg,pH,0.03611461328145107,6,106
formal_6feat_cl2d,Formal 6-feature + Cl2,rf,Random Forest,bdcm_in_avg,BDCM,br_in_avg,Bromide,0.45999133421778904,1,106
formal_6feat_cl2d,Formal 6-feature + Cl2,rf,Random Forest,bdcm_in_avg,BDCM,cl2d_in_avg,Cl2 dose,0.259181733477788,2,106
formal_6feat_cl2d,Formal 6-feature + Cl2,rf,Random Forest,bdcm_in_avg,BDCM,toc_in_avg,TOC,0.09769897440782217,3,106
formal_6feat_cl2d,Formal 6-feature + Cl2,rf,Random Forest,bdcm_in_avg,BDCM,uv_in_avg,UV254,0.09514030335894245,4,106
formal_6feat_cl2d,Formal 6-feature + Cl2,rf,Random Forest,bdcm_in_avg,BDCM,temp_in_avg,Temperature,0.029828846539336804,5,106
formal_6feat_cl2d,Formal 6-feature + Cl2,rf,Random Forest,bdcm_in_avg,BDCM,ph_in_avg,pH,0.02753617957283703,6,106
formal_6feat_cl2d,Formal 6-feature + Cl2,rf,Random Forest,dbcm_in_avg,DBCM,br_in_avg,Bromide,0.31128310480882376,1,106
formal_6feat_cl2d,Formal 6-feature + Cl2,rf,Random Forest,dbcm_in_avg,DBCM,ph_in_avg,pH,0.11429652448547233,2,106
formal_6feat_cl2d,Formal 6-feature + Cl2,rf,Random Forest,dbcm_in_avg,DBCM,cl2d_in_avg,Cl2 dose,0.0826657880439609,3,106
formal_6feat_cl2d,Formal 6-feature + Cl2,rf,Random Forest,dbcm_in_avg,DBCM,uv_in_avg,UV254,0.0733888510383804,4,106
formal_6feat_cl2d,Formal 6-feature + Cl2,rf,Random Forest,dbcm_in_avg,DBCM,temp_in_avg,Temperature,0.0505719338498075,5,106
formal_6feat_cl2d,Formal 6-feature + Cl2,rf,Random Forest,dbcm_in_avg,DBCM,toc_in_avg,TOC,0.044055222318562404,6,106
formal_6feat_cl2d,Formal 6-feature + Cl2,rf,Random Forest,thm4_in_avg,THM4,cl2d_in_avg,Cl2 dose,0.2139106409516303,1,106
formal_6feat_cl2d,Formal 6-feature + Cl2,rf,Random Forest,thm4_in_avg,THM4,toc_in_avg,TOC,0.18919791748124978,2,106
formal_6feat_cl2d,Formal 6-feature + Cl2,rf,Random Forest,thm4_in_avg,THM4,br_in_avg,Bromide,0.12074703949874264,3,106
formal_6feat_cl2d,Formal 6-feature + Cl2,rf,Random Forest,thm4_in_avg,THM4,uv_in_avg,UV254,0.0961169980754781,4,106
formal_6feat_cl2d,Formal 6-feature + Cl2,rf,Random Forest,thm4_in_avg,THM4,temp_in_avg,Temperature,0.02304986019181979,5,106
formal_6feat_cl2d,Formal 6-feature + Cl2,rf,Random Forest,thm4_in_avg,THM4,ph_in_avg,pH,0.013632788449524697,6,106
formal_6feat_cl2d,Formal 6-feature + Cl2,xgb,XGBoost,bdcm_in_avg,BDCM,br_in_avg,Bromide,0.45694485306739807,1,106
formal_6feat_cl2d,Formal 6-feature + Cl2,xgb,XGBoost,bdcm_in_avg,BDCM,cl2d_in_avg,Cl2 dose,0.21301275491714478,2,106
formal_6feat_cl2d,Formal 6-feature + Cl2,xgb,XGBoost,bdcm_in_avg,BDCM,uv_in_avg,UV254,0.11512748897075653,3,106
formal_6feat_cl2d,Formal 6-feature + Cl2,xgb,XGBoost,bdcm_in_avg,BDCM,toc_in_avg,TOC,0.10124289244413376,4,106
formal_6feat_cl2d,Formal 6-feature + Cl2,xgb,XGBoost,bdcm_in_avg,BDCM,ph_in_avg,pH,0.04339393600821495,5,106
formal_6feat_cl2d,Formal 6-feature + Cl2,xgb,XGBoost,bdcm_in_avg,BDCM,temp_in_avg,Temperature,0.03868481516838074,6,106
formal_6feat_cl2d,Formal 6-feature + Cl2,xgb,XGBoost,dbcm_in_avg,DBCM,br_in_avg,Bromide,0.3712243139743805,1,106
formal_6feat_cl2d,Formal 6-feature + Cl2,xgb,XGBoost,dbcm_in_avg,DBCM,temp_in_avg,Temperature,0.09490841627120972,2,106
formal_6feat_cl2d,Formal 6-feature + Cl2,xgb,XGBoost,dbcm_in_avg,DBCM,uv_in_avg,UV254,0.07793182134628296,3,106
formal_6feat_cl2d,Formal 6-feature + Cl2,xgb,XGBoost,dbcm_in_avg,DBCM,ph_in_avg,pH,0.06340821832418442,4,106
formal_6feat_cl2d,Formal 6-feature + Cl2,xgb,XGBoost,dbcm_in_avg,DBCM,cl2d_in_avg,Cl2 dose,0.057485293596982956,5,106
formal_6feat_cl2d,Formal 6-feature + Cl2,xgb,XGBoost,dbcm_in_avg,DBCM,toc_in_avg,TOC,0.04531834274530411,6,106
formal_6feat_cl2d,Formal 6-feature + Cl2,xgb,XGBoost,thm4_in_avg,THM4,cl2d_in_avg,Cl2 dose,0.23921330273151398,1,106
formal_6feat_cl2d,Formal 6-feature + Cl2,xgb,XGBoost,thm4_in_avg,THM4,toc_in_avg,TOC,0.15929733216762543,2,106
formal_6feat_cl2d,Formal 6-feature + Cl2,xgb,XGBoost,thm4_in_avg,THM4,br_in_avg,Bromide,0.13180328905582428,3,106
formal_6feat_cl2d,Formal 6-feature + Cl2,xgb,XGBoost,thm4_in_avg,THM4,uv_in_avg,UV254,0.06364528834819794,4,106
formal_6feat_cl2d,Formal 6-feature + Cl2,xgb,XGBoost,thm4_in_avg,THM4,ph_in_avg,pH,0.03324083238840103,5,106
formal_6feat_cl2d,Formal 6-feature + Cl2,xgb,XGBoost,thm4_in_avg,THM4,temp_in_avg,Temperature,0.025470629334449768,6,106
