Train: 141,  Test: 34
Features: 9,  Targets: 3
Optuna trials: 200,  CV folds: 5

[I 2026-03-01 22:33:48,462] Trial 40 finished with value: 0.48316152691841124 and parameters: {'n_layers': 2, 'hidden_dim': 32, 'dropout': 0.5, 'activation': 'LeakyReLU', 'lr': 0.003461595596509893, 'weight_decay': 9.217589866652793e-05, 'batch_size': 16}. Best is trial 33 with value: 0.43868049383163454.
[I 2026-03-01 22:33:49,346] Trial 41 finished with value: 0.45390633344650266 and parameters: {'n_layers': 1, 'hidden_dim': 32, 'dropout': 0.4, 'activation': 'SiLU', 'lr': 0.005309351314301823, 'weight_decay': 0.0005886221174258123, 'batch_size': 16}. Best is trial 33 with value: 0.43868049383163454.
[I 2026-03-01 22:33:50,095] Trial 42 finished with value: 0.45414315462112426 and parameters: {'n_layers': 2, 'hidden_dim': 32, 'dropout': 0.30000000000000004, 'activation': 'SiLU', 'lr': 0.007118073618306888, 'weight_decay': 0.001763027292023807, 'batch_size': 32}. Best is trial 33 with value: 0.43868049383163454.
[I 2026-03-01 22:33:51,640] Trial 43 finished with value: 0.44443480372428895 and parameters: {'n_layers': 2, 'hidden_dim': 32, 'dropout': 0.2, 'activation': 'SiLU', 'lr': 0.0049008363814586646, 'weight_decay': 0.0006855837929502463, 'batch_size': 16}. Best is trial 33 with value: 0.43868049383163454.
[I 2026-03-01 22:33:52,467] Trial 44 finished with value: 0.4795610666275024 and parameters: {'n_layers': 1, 'hidden_dim': 8, 'dropout': 0.30000000000000004, 'activation': 'SiLU', 'lr': 0.003922501043534169, 'weight_decay': 0.002905243159246816, 'batch_size': 32}. Best is trial 33 with value: 0.43868049383163454.
[I 2026-03-01 22:33:53,773] Trial 45 finished with value: 0.470261812210083 and parameters: {'n_layers': 0, 'lr': 0.003082955308968435, 'weight_decay': 0.00028073744548172863, 'batch_size': 8}. Best is trial 33 with value: 0.43868049383163454.
[I 2026-03-01 22:33:54,931] Trial 46 finished with value: 0.47573110461235046 and parameters: {'n_layers': 3, 'hidden_dim': 16, 'dropout': 0.1, 'activation': 'SiLU', 'lr': 0.00750015792847784, 'weight_decay': 0.0001838231643480432, 'batch_size': 16}. Best is trial 33 with value: 0.43868049383163454.
[I 2026-03-01 22:33:57,171] Trial 47 finished with value: 0.45192127823829653 and parameters: {'n_layers': 2, 'hidden_dim': 32, 'dropout': 0.30000000000000004, 'activation': 'SiLU', 'lr': 0.0022339648839481093, 'weight_decay': 0.00010197037909153525, 'batch_size': 8}. Best is trial 33 with value: 0.43868049383163454.
[I 2026-03-01 22:33:59,657] Trial 48 finished with value: 0.46538215279579165 and parameters: {'n_layers': 2, 'hidden_dim': 32, 'dropout': 0.2, 'activation': 'SiLU', 'lr': 0.0007507133207750794, 'weight_decay': 0.0009779994670753736, 'batch_size': 8}. Best is trial 33 with value: 0.43868049383163454.
[I 2026-03-01 22:34:03,284] Trial 49 finished with value: 0.5153170943260192 and parameters: {'n_layers': 3, 'hidden_dim': 32, 'dropout': 0.4, 'activation': 'ReLU', 'lr': 0.0002343136531527628, 'weight_decay': 0.009825123906848985, 'batch_size': 32}. Best is trial 33 with value: 0.43868049383163454.
[I 2026-03-01 22:34:04,671] Trial 50 finished with value: 0.4501343071460724 and parameters: {'n_layers': 1, 'hidden_dim': 32, 'dropout': 0.30000000000000004, 'activation': 'SiLU', 'lr': 0.005464209889403078, 'weight_decay': 0.0003912717903913139, 'batch_size': 8}. Best is trial 33 with value: 0.43868049383163454.
[I 2026-03-01 22:34:06,309] Trial 51 finished with value: 0.4446468114852905 and parameters: {'n_layers': 2, 'hidden_dim': 32, 'dropout': 0.2, 'activation': 'SiLU', 'lr': 0.004879106582580518, 'weight_decay': 0.0006582690603603302, 'batch_size': 16}. Best is trial 33 with value: 0.43868049383163454.
[I 2026-03-01 22:34:07,205] Trial 52 finished with value: 0.4507570624351501 and parameters: {'n_layers': 2, 'hidden_dim': 32, 'dropout': 0.2, 'activation': 'SiLU', 'lr': 0.007572981064106812, 'weight_decay': 0.0003030497405467392, 'batch_size': 16}. Best is trial 33 with value: 0.43868049383163454.
[I 2026-03-01 22:34:08,563] Trial 53 finished with value: 0.44770572781562806 and parameters: {'n_layers': 2, 'hidden_dim': 32, 'dropout': 0.2, 'activation': 'SiLU', 'lr': 0.00440067637303581, 'weight_decay': 0.000766926855459466, 'batch_size': 16}. Best is trial 33 with value: 0.43868049383163454.
[I 2026-03-01 22:34:09,814] Trial 54 finished with value: 0.46633678674697876 and parameters: {'n_layers': 2, 'hidden_dim': 32, 'dropout': 0.2, 'activation': 'LeakyReLU', 'lr': 0.002814429187779173, 'weight_decay': 0.00046053548904159583, 'batch_size': 16}. Best is trial 33 with value: 0.43868049383163454.
[I 2026-03-01 22:34:10,932] Trial 55 finished with value: 0.45679631233215334 and parameters: {'n_layers': 2, 'hidden_dim': 64, 'dropout': 0.1, 'activation': 'SiLU', 'lr': 0.008189816326241895, 'weight_decay': 0.0012782792394120499, 'batch_size': 16}. Best is trial 33 with value: 0.43868049383163454.
[I 2026-03-01 22:34:13,122] Trial 56 finished with value: 0.4572445094585419 and parameters: {'n_layers': 3, 'hidden_dim': 32, 'dropout': 0.30000000000000004, 'activation': 'SiLU', 'lr': 0.006131898350032305, 'weight_decay': 0.00023771726501127448, 'batch_size': 8}. Best is trial 33 with value: 0.43868049383163454.
[I 2026-03-01 22:34:15,076] Trial 57 finished with value: 0.47419834733009336 and parameters: {'n_layers': 2, 'hidden_dim': 8, 'dropout': 0.2, 'activation': 'SiLU', 'lr': 0.003977777615831734, 'weight_decay': 0.0018235831128815038, 'batch_size': 8}. Best is trial 33 with value: 0.43868049383163454.
[I 2026-03-01 22:34:16,742] Trial 58 finished with value: 0.5209096372127533 and parameters: {'n_layers': 2, 'hidden_dim': 16, 'dropout': 0.1, 'activation': 'ReLU', 'lr': 0.001273300455737803, 'weight_decay': 0.00016061130557962894, 'batch_size': 16}. Best is trial 33 with value: 0.43868049383163454.
[I 2026-03-01 22:34:19,064] Trial 59 finished with value: 0.44886415600776675 and parameters: {'n_layers': 2, 'hidden_dim': 32, 'dropout': 0.5, 'activation': 'SiLU', 'lr': 0.004809489718997241, 'weight_decay': 7.091436237388592e-05, 'batch_size': 8}. Best is trial 33 with value: 0.43868049383163454.
[I 2026-03-01 22:34:21,256] Trial 60 finished with value: 0.4498573184013367 and parameters: {'n_layers': 1, 'hidden_dim': 32, 'dropout': 0.30000000000000004, 'activation': 'SiLU', 'lr': 0.00615535996637395, 'weight_decay': 0.00011124014420604477, 'batch_size': 8}. Best is trial 33 with value: 0.43868049383163454.
[I 2026-03-01 22:34:22,708] Trial 61 finished with value: 0.44706226587295533 and parameters: {'n_layers': 2, 'hidden_dim': 32, 'dropout': 0.2, 'activation': 'SiLU', 'lr': 0.004739826825217432, 'weight_decay': 0.0006431763761928369, 'batch_size': 16}. Best is trial 33 with value: 0.43868049383163454.
[I 2026-03-01 22:34:23,933] Trial 62 finished with value: 0.4411838471889496 and parameters: {'n_layers': 2, 'hidden_dim': 32, 'dropout': 0.2, 'activation': 'SiLU', 'lr': 0.008219311078897439, 'weight_decay': 0.0006921097396670732, 'batch_size': 16}. Best is trial 33 with value: 0.43868049383163454.
[I 2026-03-01 22:34:25,408] Trial 63 finished with value: 0.4465306639671326 and parameters: {'n_layers': 2, 'hidden_dim': 32, 'dropout': 0.2, 'activation': 'SiLU', 'lr': 0.00649898074341791, 'weight_decay': 0.0009285330388585741, 'batch_size': 16}. Best is trial 33 with value: 0.43868049383163454.
