condition,condition_label,seed,model,model_label,target,target_key,target_label,feature,feature_label,mean_abs_shap,rank,n_train,n_test
C,C Dataset1 6-feat (N=488),-1,xgb,XGBoost,bdcm_in_avg,bdcm,BDCM,uv_in_avg,UV254,2.167590379714966,3,382,106
C,C Dataset1 6-feat (N=488),-1,xgb,XGBoost,bdcm_in_avg,bdcm,BDCM,toc_in_avg,TOC,1.905573844909668,4,382,106
C,C Dataset1 6-feat (N=488),-1,xgb,XGBoost,bdcm_in_avg,bdcm,BDCM,ph_in_avg,pH,0.8197011351585388,5,382,106
C,C Dataset1 6-feat (N=488),-1,xgb,XGBoost,bdcm_in_avg,bdcm,BDCM,temp_in_avg,Temperature,0.7322127223014832,6,382,106
D,D Dataset1 5-common (N=175),1,rf,Random Forest,thm4_in_avg,thm4,THM4,uv_in_avg,UV254,30.109180855995493,1,141,34
D,D Dataset1 5-common (N=175),1,rf,Random Forest,thm4_in_avg,thm4,THM4,toc_in_avg,TOC,29.77749775936591,2,141,34
D,D Dataset1 5-common (N=175),1,rf,Random Forest,thm4_in_avg,thm4,THM4,br_in_avg,Bromide,19.583605021722818,3,141,34
D,D Dataset1 5-common (N=175),1,rf,Random Forest,thm4_in_avg,thm4,THM4,ph_in_avg,pH,4.664806265859407,4,141,34
D,D Dataset1 5-common (N=175),1,rf,Random Forest,thm4_in_avg,thm4,THM4,temp_in_avg,Temperature,2.5386886196109435,5,141,34
D,D Dataset1 5-common (N=175),1,xgb,XGBoost,thm4_in_avg,thm4,THM4,uv_in_avg,UV254,30.734403610229492,1,141,34
D,D Dataset1 5-common (N=175),1,xgb,XGBoost,thm4_in_avg,thm4,THM4,toc_in_avg,TOC,25.775602340698242,2,141,34
D,D Dataset1 5-common (N=175),1,xgb,XGBoost,thm4_in_avg,thm4,THM4,br_in_avg,Bromide,16.28447723388672,3,141,34
D,D Dataset1 5-common (N=175),1,xgb,XGBoost,thm4_in_avg,thm4,THM4,ph_in_avg,pH,4.830190181732178,4,141,34
D,D Dataset1 5-common (N=175),1,xgb,XGBoost,thm4_in_avg,thm4,THM4,temp_in_avg,Temperature,4.5308122634887695,5,141,34
D,D Dataset1 5-common (N=175),1,rf,Random Forest,dbcm_in_avg,dbcm,DBCM,br_in_avg,Bromide,9.095264313495708,1,141,34
D,D Dataset1 5-common (N=175),1,rf,Random Forest,dbcm_in_avg,dbcm,DBCM,ph_in_avg,pH,3.0082516019756644,2,141,34
D,D Dataset1 5-common (N=175),1,rf,Random Forest,dbcm_in_avg,dbcm,DBCM,uv_in_avg,UV254,2.4648338706143234,3,141,34
D,D Dataset1 5-common (N=175),1,rf,Random Forest,dbcm_in_avg,dbcm,DBCM,toc_in_avg,TOC,1.2884474628691232,4,141,34
D,D Dataset1 5-common (N=175),1,rf,Random Forest,dbcm_in_avg,dbcm,DBCM,temp_in_avg,Temperature,1.030239771893936,5,141,34
D,D Dataset1 5-common (N=175),1,xgb,XGBoost,dbcm_in_avg,dbcm,DBCM,br_in_avg,Bromide,9.665400505065918,1,141,34
D,D Dataset1 5-common (N=175),1,xgb,XGBoost,dbcm_in_avg,dbcm,DBCM,ph_in_avg,pH,2.705141544342041,2,141,34
D,D Dataset1 5-common (N=175),1,xgb,XGBoost,dbcm_in_avg,dbcm,DBCM,uv_in_avg,UV254,2.5164315700531006,3,141,34
D,D Dataset1 5-common (N=175),1,xgb,XGBoost,dbcm_in_avg,dbcm,DBCM,temp_in_avg,Temperature,1.9301739931106567,4,141,34
D,D Dataset1 5-common (N=175),1,xgb,XGBoost,dbcm_in_avg,dbcm,DBCM,toc_in_avg,TOC,1.4713314771652222,5,141,34
D,D Dataset1 5-common (N=175),1,rf,Random Forest,bdcm_in_avg,bdcm,BDCM,br_in_avg,Bromide,10.263564873647281,1,141,34
D,D Dataset1 5-common (N=175),1,rf,Random Forest,bdcm_in_avg,bdcm,BDCM,uv_in_avg,UV254,4.856466035744456,2,141,34
D,D Dataset1 5-common (N=175),1,rf,Random Forest,bdcm_in_avg,bdcm,BDCM,toc_in_avg,TOC,3.573001166304542,3,141,34
D,D Dataset1 5-common (N=175),1,rf,Random Forest,bdcm_in_avg,bdcm,BDCM,temp_in_avg,Temperature,0.8250835816787969,4,141,34
D,D Dataset1 5-common (N=175),1,rf,Random Forest,bdcm_in_avg,bdcm,BDCM,ph_in_avg,pH,0.7461169083277641,5,141,34
D,D Dataset1 5-common (N=175),1,xgb,XGBoost,bdcm_in_avg,bdcm,BDCM,br_in_avg,Bromide,9.407218933105469,1,141,34
D,D Dataset1 5-common (N=175),1,xgb,XGBoost,bdcm_in_avg,bdcm,BDCM,uv_in_avg,UV254,5.7627272605896,2,141,34
D,D Dataset1 5-common (N=175),1,xgb,XGBoost,bdcm_in_avg,bdcm,BDCM,toc_in_avg,TOC,2.319768190383911,3,141,34
D,D Dataset1 5-common (N=175),1,xgb,XGBoost,bdcm_in_avg,bdcm,BDCM,ph_in_avg,pH,1.1437156200408936,4,141,34
D,D Dataset1 5-common (N=175),1,xgb,XGBoost,bdcm_in_avg,bdcm,BDCM,temp_in_avg,Temperature,0.7336052656173706,5,141,34
D,D Dataset1 5-common (N=175),2,rf,Random Forest,thm4_in_avg,thm4,THM4,uv_in_avg,UV254,32.75908234289802,1,141,34
D,D Dataset1 5-common (N=175),2,rf,Random Forest,thm4_in_avg,thm4,THM4,toc_in_avg,TOC,29.250978883359846,2,141,34
D,D Dataset1 5-common (N=175),2,rf,Random Forest,thm4_in_avg,thm4,THM4,br_in_avg,Bromide,16.01522847075178,3,141,34
D,D Dataset1 5-common (N=175),2,rf,Random Forest,thm4_in_avg,thm4,THM4,temp_in_avg,Temperature,5.8945563952017475,4,141,34
D,D Dataset1 5-common (N=175),2,rf,Random Forest,thm4_in_avg,thm4,THM4,ph_in_avg,pH,4.60536366684658,5,141,34
D,D Dataset1 5-common (N=175),2,xgb,XGBoost,thm4_in_avg,thm4,THM4,uv_in_avg,UV254,32.531219482421875,1,141,34
